tweet_id,favorites,retweets,user_followers,user_favourites,date_time
810254108431155201,13930,3150,9358965,147581,2016-12-17 22:43:27+00:00
809920764300447744,14741,3668,9358965,147581,2016-12-17 00:38:52+00:00
809808892968534016,0,4557,9359381,147581,2016-12-16 17:14:20+00:00
809448704142938112,6588,1361,9358965,147581,2016-12-15 17:23:04+00:00
809220051211603969,18811,5224,9358965,147581,2016-12-15 02:14:29+00:00
809084759137812480,12524,3282,9358965,147581,2016-12-14 17:16:53+00:00
808838249661788160,9617,2855,9358965,147581,2016-12-14 00:57:20+00:00
808733504066486276,7472,2028,9358965,147581,2016-12-13 18:01:07+00:00
808501579447930884,10720,2447,9358965,147581,2016-12-13 02:39:32+00:00
808344865868283904,40046,19359,9358965,147581,2016-12-12 16:16:49+00:00
808134635716833280,0,5490,9358965,147581,2016-12-12 02:21:26+00:00
808106460588765185,8368,2062,9358965,147581,2016-12-12 00:29:28+00:00
808001312164028416,11808,3294,9358965,147581,2016-12-11 17:31:39+00:00
807621403335917568,13807,3372,9358965,147581,2016-12-10 16:22:02+00:00
807106840509214720,111197,51426,9358965,147581,2016-12-09 06:17:20+00:00
807059379405148160,0,6863,9358965,147581,2016-12-09 03:08:45+00:00
807010152071229440,12419,3614,9359434,147585,2016-12-08 23:53:08+00:00
806629075125202948,70328,32227,9358965,147581,2016-12-07 22:38:52+00:00
806620845233815552,0,5125,9358965,147581,2016-12-07 22:06:10+00:00
806576416489959424,4646,1818,9358965,147581,2016-12-07 19:09:37+00:00
806542213899489280,9702,2208,9358965,147581,2016-12-07 16:53:43+00:00
806242860592926720,0,10832,9358965,147581,2016-12-06 21:04:11+00:00
806219024703037440,6115,1130,9358965,147581,2016-12-06 19:29:28+00:00
805958939288408065,0,4990,9359434,147585,2016-12-06 02:15:59+00:00
805932879469572096,7854,1794,9358965,147581,2016-12-06 00:32:26+00:00
805826884734976000,6214,1710,9358965,147581,2016-12-05 17:31:15+00:00
805823200554876929,0,7431,9358965,147581,2016-12-05 17:16:37+00:00
805520635690676224,5463,1547,9358965,147581,2016-12-04 21:14:20+00:00
805487436403003392,8317,2369,9358965,147581,2016-12-04 19:02:24+00:00
805207613751304193,7456,1621,9358965,147581,2016-12-04 00:30:29+00:00
804738756058218496,12935,3588,9358965,147581,2016-12-02 17:27:25+00:00
804475857670639616,5823,1883,9358965,147581,2016-12-02 00:02:45+00:00
804413760345620481,0,2999,9358965,147581,2016-12-01 19:56:00+00:00
804026241225523202,41915,14966,9358965,147581,2016-11-30 18:16:08+00:00
803773340896923648,9510,2577,9358965,147581,2016-11-30 01:31:12+00:00
803692223237865472,0,6896,9358965,147581,2016-11-29 20:08:52+00:00
803638050916102144,10340,3872,9358965,147581,2016-11-29 16:33:36+00:00
803380650405482500,7363,1762,9358965,147581,2016-11-28 23:30:47+00:00
803321560782307329,0,4937,9358965,147581,2016-11-28 19:35:59+00:00
803276597545603072,9504,2289,9358965,147581,2016-11-28 16:37:19+00:00
802952499103731712,8553,1865,9358965,147581,2016-11-27 19:09:28+00:00
802624713319034886,0,2716,9358965,147581,2016-11-26 21:26:58+00:00
802600418706604034,6746,1377,9358965,147581,2016-11-26 19:50:26+00:00
802572683846291456,8492,2348,9358965,147581,2016-11-26 18:00:13+00:00
802323869084381190,15295,5455,9358965,147581,2016-11-26 01:31:31+00:00
802265048156610565,6600,1287,9358965,147581,2016-11-25 21:37:47+00:00
802239329049477120,8623,2448,9358965,147581,2016-11-25 19:55:35+00:00
802185808107208704,0,250,9358965,147581,2016-11-25 16:22:55+00:00
801958328846974976,7347,1592,9358965,147581,2016-11-25 01:18:59+00:00
801854953262350336,1720,218,9358965,147581,2016-11-24 18:28:13+00:00
801538201127157760,7794,1946,9358965,147581,2016-11-23 21:29:33+00:00
801285448605831168,5718,770,9358965,147581,2016-11-23 04:45:12+00:00
801167903437357056,23101,5490,9358965,147581,2016-11-22 20:58:07+00:00
801127390143516673,0,3689,9358965,147581,2016-11-22 18:17:08+00:00
801115127852503040,7659,1981,9358965,147581,2016-11-22 17:28:25+00:00
800859414831898624,645,90,9358964,147581,2016-11-22 00:32:18+00:00
800855607700029440,0,1511,9358964,147581,2016-11-22 00:17:10+00:00
800751577355128832,10062,2614,9358964,147581,2016-11-21 17:23:47+00:00
800513324630806528,12453,2813,9358964,147581,2016-11-21 01:37:04+00:00
800459316964663297,9018,2054,9358964,147581,2016-11-20 22:02:27+00:00
800443802682937345,0,4009,9358964,147581,2016-11-20 21:00:48+00:00
800388270626521089,10571,2626,9358964,147581,2016-11-20 17:20:08+00:00
800188575492947969,0,3678,9358964,147581,2016-11-20 04:06:37+00:00
800141422401830912,14469,2383,9358964,147581,2016-11-20 00:59:15+00:00
800018252395122689,26806,12255,9358964,147581,2016-11-19 16:49:49+00:00
799774291445383169,0,4351,9358964,147581,2016-11-19 00:40:24+00:00
799757965289017345,7946,1998,9358964,147581,2016-11-18 23:35:32+00:00
799422933579902976,7668,1792,9358964,147581,2016-11-18 01:24:14+00:00
799308762079035393,0,5056,9358964,147581,2016-11-17 17:50:33+00:00
799297110730567681,9359,2549,9358964,147581,2016-11-17 17:04:16+00:00
799063482566066176,7674,2333,9358964,147581,2016-11-17 01:35:54+00:00
798933969379225600,12380,4140,9358964,147581,2016-11-16 17:01:16+00:00
798925684722855936,7145,1355,9358964,147581,2016-11-16 16:28:21+00:00
